person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
1;1;1_1;h;;21600.0;;1;;-25000.0;0.0
1;2;1_2;w;22700.0;23300.0;;20;;10000.0;0.0
1;3;1_3;w;23300.0;35900.0;;20;;10000.0;0.0
1;4;1_4;h;38240.0;;;1;;-25000.0;0.0
2;1;2_1;h;;21540.0;;1;;-25000.0;0.0
2;2;2_2;w;22440.0;31440.0;;20;;10000.0;0.0
2;3;2_3;h;33780.0;;;1;;-25000.0;0.0
3;1;3_1;h;;21510.0;;1;;-25000.0;0.0
3;2;3_2;w;22410.0;27810.0;;20;;10000.0;0.0
3;3;3_3;h;30150.0;;;1;;-25000.0;0.0
4;1;4_1;h;;21570.0;;1;;-25000.0;0.0
4;2;4_2;w;22470.0;31470.0;;20;;10000.0;0.0
4;3;4_3;h;33810.0;;;1;;-25000.0;0.0
5;1;5_1;h;;21600.0;;1;;-25000.0;0.0
5;2;5_2;w;22514.0;45914.0;;20;;10000.0;0.0
5;3;5_3;h;48254.0;;;1;;-25000.0;0.0
6;1;6_1;h;;21600.0;;1;;-25000.0;0.0
6;2;6_2;w;22513.0;24313.0;;20;;10000.0;0.0
6;3;6_3;h;26653.0;;;1;;-25000.0;0.0
7;1;7_1;h;;21600.0;;1;;-25000.0;0.0
7;2;7_2;w;22512.0;24312.0;;20;;10000.0;0.0
7;3;7_3;h;26652.0;;;1;;-25000.0;0.0
8;1;8_1;h;;21600.0;;1;;-25000.0;0.0
8;2;8_2;w;22505.0;24305.0;;20;;10000.0;0.0
8;3;8_3;h;26645.0;;;1;;-25000.0;0.0
9;1;9_1;h;;21600.0;;1;;-25000.0;0.0
9;2;9_2;w;22503.0;24303.0;;20;;10000.0;0.0
9;3;9_3;h;26643.0;;;1;;-25000.0;0.0
10;1;10_1;h;;21600.0;;1;;-25000.0;0.0
10;2;10_2;w;22535.0;24335.0;;20;;10000.0;0.0
10;3;10_3;h;26675.0;;;1;;-25000.0;0.0
11;1;11_1;h;;21600.0;;1;;-25000.0;0.0
11;2;11_2;w;22700.0;24500.0;;20;;10000.0;0.0
