iteration;avg_executed;avg_worst;avg_average;avg_best
0;35.781292373108066;35.781292373108066;35.781292373108066;35.781292373108066
1;31.972738073459873;31.972738073459873;33.88917494824832;35.80561182303678
2;35.71023008604278;31.9859540963637;34.008457585871234;35.90405274204543
3;35.43581831653064;31.939794891312996;33.926455262372045;35.91449264366978
4;35.76849634741131;31.911813820508293;33.95841265487438;35.95863523630019
5;35.89799965919195;31.875707960503245;33.96591486556755;36.01315477127183
6;35.25661700788706;31.863450722541444;33.839364551186826;36.01722459866369
7;35.59172063789612;31.855204120393026;33.83620588452403;36.09972704026641
8;35.52833505126532;31.829123381107426;33.75172352943205;36.099537834022904
9;36.07362732919348;31.811630795119;33.74673482487008;36.10788185520072
10;35.77097676578192;31.82966845983303;33.743851510406245;36.15153643446068
