iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;19:06:28;19:06:28;19:06:28;;;19:06:28;19:06:28;19:06:28;19:06:28;19:06:28;19:06:28;19:06:28;19:06:29;19:06:29;19:06:29;19:06:29;19:06:29;19:06:29;;;19:06:30;19:06:30;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:02
1;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:31;19:06:32;19:06:32;19:06:32;19:06:32;;;19:06:33;19:06:33;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:01;00:00:02
2;19:06:33;19:06:33;19:06:33;19:06:33;19:06:33;19:06:33;;;19:06:33;19:06:33;19:06:33;19:06:33;19:06:34;19:06:34;19:06:34;19:06:34;19:06:34;19:06:34;;;19:06:35;19:06:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:01;00:00:01
3;19:06:35;19:06:35;19:06:35;19:06:35;19:06:35;19:06:35;;;19:06:35;19:06:35;19:06:35;19:06:35;19:06:36;19:06:36;19:06:36;19:06:36;19:06:36;19:06:36;;;19:06:37;19:06:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:01;00:00:01
4;19:06:37;19:06:37;19:06:37;19:06:37;19:06:37;19:06:37;;;19:06:37;19:06:37;19:06:37;19:06:37;19:06:38;19:06:38;19:06:38;19:06:38;19:06:38;19:06:38;;;19:06:39;19:06:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:01;00:00:02
5;19:06:39;19:06:39;19:06:39;19:06:39;19:06:39;19:06:39;;;19:06:39;19:06:39;19:06:39;19:06:39;19:06:40;19:06:40;19:06:40;19:06:40;19:06:40;19:06:40;;;19:06:41;19:06:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
6;19:06:41;19:06:41;19:06:41;19:06:41;19:06:41;19:06:41;;;19:06:41;19:06:41;19:06:41;19:06:41;19:06:42;19:06:42;19:06:42;19:06:42;19:06:42;19:06:42;;;19:06:43;19:06:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:01;00:00:01
7;19:06:43;19:06:43;19:06:43;19:06:43;19:06:43;19:06:43;;;19:06:43;19:06:43;19:06:43;19:06:43;19:06:44;19:06:44;19:06:44;19:06:44;19:06:44;19:06:44;;;19:06:45;19:06:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:01;00:00:02
8;19:06:45;19:06:45;19:06:45;19:06:45;19:06:45;19:06:45;;;19:06:45;19:06:45;19:06:45;19:06:45;19:06:46;19:06:46;19:06:46;19:06:46;19:06:46;19:06:46;;;19:06:48;19:06:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:01;00:00:02
9;19:06:48;19:06:48;19:06:48;19:06:48;19:06:48;19:06:48;;;19:06:48;19:06:48;19:06:48;19:06:48;19:06:49;19:06:49;19:06:49;19:06:49;19:06:49;19:06:49;;;19:06:50;19:06:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:01;00:00:02
10;19:06:50;19:06:50;19:06:50;19:06:50;19:06:50;19:06:50;;;19:06:50;19:06:50;19:06:50;19:06:50;19:06:51;19:06:51;19:06:51;19:06:51;19:06:51;19:06:51;19:06:51;19:06:51;19:06:52;19:06:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:02
